No,Link,Sumber,Tanggal,Tag,PIC
42,https://oto.detik.com/mobil-listrik/d-7668485/sinar-jaya-suplai-bus-listrik-buat-transjakarta-bodi-laksana-sasis-vktr,oto.detik.com,3/12/24,Operasional,Rafi
43,https://finance.detik.com/moneter/d-7824100/naik-mrt-dan-transjakarta-bisa-pakai-qris-tap-di-aplikasi-ini,finance.detik.com,14/3/25,Layanan,Rafi
44,https://travel.detik.com/travel-news/d-7630337/strategi-jitu-transjakarta-bikin-pengendara-mobil-pindah-ke-transportasi-umum,travel.detik.com,9/11/24,Operasional,Rafi
45,https://oto.detik.com/berita/d-7641477/geger-aksi-gila-pemotor-lempar-batu-ke-bus-tj-ternyata-ini-motifnya,oto.detik.com,16/11/24,Operasional,Rafi
46,https://finance.detik.com/energi/d-7538684/transjakarta-setop-pengadaan-bus-solar-mau-tambah-200-bus-listrik,finance.detik.com,13/9/24,Operasional,Rafi
47,https://news.detik.com/berita/d-8141041/langkah-transjakarta-usai-skywalk-kebayoran-lama-banyak-kotoran-kucing,news.detik.com,2/10/25,Keluhan,Rafi
48,https://news.detik.com/berita/d-8140278/penumpang-transj-menumpuk-di-halte-tegal-mampang-ini-penyebabnya,news.detik.com,1/10/25,Keluhan,Rafi
49,https://news.detik.com/berita/d-7876881/perempuan-gratis-naik-transj-mrt-lrt-di-hari-kartini-gate-khusus-disiapkan,news.detik.com,20/4/25,Tarif,Rafi
50,https://news.detik.com/berita/d-8079277/anggota-dprd-dki-dukung-transjakarta-di-rute-tb-simatupang-ditambah,news.detik.com,26/8/25,Opini,Rafi
1,https://www.kompas.id/artikel/pro-kontra-pengguna-transjakarta-di-seputar-wacana-kenaikan-tarif,kompas.id,29/4/25,economy,Edward
2,https://www.kompas.id/artikel/transjakarta-buka-sekolah-pramudi-jamin-kompetensi-dan-cegah-kecelakaan?open_from=Search_Result_Page,kompas.id,20/5/25,local_news,Edward
3,https://www.kompas.id/artikel/transjakarta-akan-tambah-rute-di-bodetabek?open_from=Search_Result_Page,kompas.id,7/2/25,,Edward
4,https://www.kompas.id/artikel/transjakarta-dan-mrt-jakarta-beririsan-tetapi-saling-melengkapi?open_from=Search_Result_Page,kompas.id,1/1/25,,Edward
5,https://www.kompas.id/artikel/transjakarta-tambah-200-unit-bus-listrik?open_from=Search_Result_Page,kompas.id,10/12/24,,Edward
6,https://www.kompas.id/artikel/transjakarta-perluas-rute-untuk-jangkau-seluruh-pasar-di-jakarta,kompas.id,10/7/24,,Edward
7,https://www.kompas.id/artikel/sempat-didemo-sopir-angkot-transjakarta-rute-10m-kembali-beroprasi-akhir-maret,kompas.id,26/3/24,,Edward
8,https://www.kompas.id/artikel/lamban-tanggapi-keluhan-penumpang-anggap-transjakarta-tidak-solutif,kompas.id,7/10/22,,Edward
9,https://www.kompas.id/artikel/menagih-perbaikan-layanan-dan-keselamatan-transjakarta,kompas.id,17/1/23,,Edward
10,https://www.kompas.id/baca/metro/2023/05/24/beroperasi-kembali-halte-dukuh-atas-2-dan-manggarai-diapresiasi-sekaligus-dikeluhkan-pengguna?open_from=Search_Result_Page,kompas.id,24/5/23,,Edward
